XL2 Sound Level Meter RTA Reporting:		CHH2016\SPL_SLM_005_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-02094-C0, FW3.02
	Mic Type:       	NTi Audio M2210, SNo. 1368, User calibrated 2015-12-16  12:34
	Mic Sensitivity:	21,4 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	10 - 110 dB

# Time
	Start:          	2016-04-13, 12:09:30
	End:            	2016-04-13, 12:10:00

# RTA Results
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LASmax   	-32,9   	-20,2   	-13,2   	-11,2   	-0,6    	-9,2    	-0,0    	0,2     	3,4     	15,7    	15,4    	18,7    	21,9    	17,8    	21,3    	26,9    	25,5    	25,0    	27,4    	30,4    	30,3    	30,6    	31,3    	29,8    	28,9    	28,2    	28,4    	26,5    	27,2    	26,3    	23,5    	21,0    	16,3    	12,5    	7,3     	3,9     
	LASmin   	-53,2   	-47,6   	-43,3   	-29,4   	-17,8   	-25,1   	-11,5   	-14,3   	-9,6    	0,3     	-1,1    	0,8     	9,7     	11,4    	13,0    	21,2    	19,8    	20,7    	21,9    	26,8    	27,5    	27,1    	28,8    	26,0    	25,0    	23,9    	23,5    	18,6    	17,3    	15,2    	13,2    	11,4    	9,5     	6,8     	4,5     	2,3     
	LAeq     	-41,9   	-36,3   	-29,1   	-20,1   	-9,5    	-16,0   	-5,7    	-6,8    	-2,1    	7,5     	7,2     	9,4     	13,8    	13,5    	15,9    	23,4    	21,8    	22,1    	23,5    	27,8    	28,4    	28,1    	29,5    	27,2    	26,1    	25,7    	25,9    	21,4    	20,6    	19,1    	16,9    	14,6    	11,8    	8,3     	5,5     	2,9     
	L_Capt   	54,0    	57,3    	55,7    	54,0    	53,2    	50,9    	49,3    	52,1    	51,1    	52,1    	55,0    	52,4    	64,5    	64,3    	60,8    	63,8    	61,2    	59,6    	56,4    	54,4    	59,1    	57,7    	52,4    	49,8    	46,5    	42,3    	43,5    	45,4    	40,9    	33,6    	38,3    	38,4    	37,4    	32,6    	30,0    	28,6    
	LAE      	-27,1   	-21,5   	-14,3   	-5,3    	5,3     	-1,2    	9,1     	8,1     	12,7    	22,4    	22,0    	24,3    	28,7    	28,4    	30,8    	38,3    	36,6    	36,9    	38,3    	42,7    	43,3    	43,0    	44,4    	42,0    	41,0    	40,5    	40,7    	36,2    	35,4    	33,9    	31,8    	29,5    	26,6    	23,2    	20,3    	17,7    
	LAS1,0%  	-,-     	-21,7   	-13,7   	-11,7   	-0,7    	-9,7    	-0,7    	-0,7    	2,3     	14,3    	14,3    	17,3    	21,3    	17,3    	20,3    	26,3    	24,3    	24,3    	26,3    	29,3    	29,3    	30,3    	30,3    	29,3    	28,3    	27,3    	27,3    	25,3    	26,3    	25,3    	22,3    	20,3    	15,3    	11,3    	6,3     	3,3     
	LAS5,0%  	-,-     	-,-     	-18,7   	-12,7   	-3,7    	-10,7   	-1,7    	-1,7    	2,3     	13,3    	12,3    	15,3    	18,3    	15,3    	18,3    	25,3    	23,3    	23,3    	25,3    	29,3    	29,3    	29,3    	30,3    	28,3    	27,3    	27,3    	27,3    	23,3    	24,3    	22,3    	20,3    	17,3    	14,3    	9,3     	6,3     	3,3     
	LAS10,0% 	-,-     	-,-     	-,-     	-15,7   	-4,7    	-11,7   	-2,7    	-3,7    	1,3     	10,3    	10,3    	13,3    	16,3    	14,3    	17,3    	24,3    	22,3    	23,3    	24,3    	28,3    	28,3    	28,3    	29,3    	27,3    	27,3    	26,3    	27,3    	23,3    	22,3    	21,3    	19,3    	16,3    	13,3    	9,3     	5,3     	3,3     
	LAS50,0% 	-,-     	-,-     	-,-     	-,-     	-13,7   	-18,7   	-7,7    	-9,7    	-3,7    	4,3     	4,3     	5,3     	11,3    	12,3    	15,3    	22,3    	21,3    	21,3    	22,3    	27,3    	28,3    	27,3    	29,3    	26,3    	25,3    	25,3    	25,3    	20,3    	19,3    	17,3    	15,3    	13,3    	10,3    	7,3     	5,3     	2,3     
	LAS90,0% 	-,-     	-,-     	-,-     	-,-     	-16,7   	-22,7   	-10,7   	-12,7   	-8,7    	1,3     	0,3     	2,3     	10,3    	11,3    	13,3    	21,3    	20,3    	20,3    	22,3    	26,3    	27,3    	27,3    	28,3    	26,3    	24,3    	23,3    	23,3    	18,3    	17,3    	15,3    	13,3    	11,3    	9,3     	6,3     	4,3     	2,3     
	LAS95,0% 	-,-     	-,-     	-,-     	-,-     	-16,7   	-,-     	-10,7   	-13,7   	-8,7    	1,3     	-0,7    	1,3     	9,3     	11,3    	13,3    	21,3    	20,3    	20,3    	22,3    	26,3    	27,3    	27,3    	28,3    	26,3    	24,3    	23,3    	23,3    	18,3    	17,3    	15,3    	13,3    	11,3    	9,3     	6,3     	4,3     	2,3     
	LAS99,0% 	-,-     	-,-     	-,-     	-,-     	-17,7   	-,-     	-11,7   	-14,7   	-9,7    	0,3     	-0,7    	0,3     	9,3     	11,3    	12,3    	21,3    	19,3    	20,3    	21,3    	26,3    	27,3    	26,3    	28,3    	25,3    	24,3    	23,3    	23,3    	18,3    	17,3    	14,3    	13,3    	11,3    	9,3     	6,3     	4,3     	2,3     

