XL2 Sound Level Meter RTA Reporting:		CHH2016\SPL_SLM_004_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-02094-C0, FW3.02
	Mic Type:       	NTi Audio M2210, SNo. 1368, User calibrated 2015-12-16  12:34
	Mic Sensitivity:	21,4 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	10 - 110 dB

# Time
	Start:          	2016-04-13, 12:08:38
	End:            	2016-04-13, 12:09:08

# RTA Results
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LASmax   	-36,7   	-33,5   	-27,1   	-9,4    	-2,7    	-4,7    	1,4     	8,0     	14,3    	16,7    	23,2    	21,9    	31,8    	33,1    	35,8    	38,8    	40,8    	40,8    	42,1    	38,3    	35,0    	33,6    	33,4    	32,8    	32,5    	32,0    	31,6    	30,1    	29,6    	29,6    	29,5    	28,2    	24,2    	19,0    	14,5    	9,0     
	LASmin   	-52,9   	-46,7   	-40,7   	-26,4   	-18,8   	-15,6   	-8,9    	-12,5   	-15,2   	-2,6    	1,2     	1,2     	6,3     	11,0    	13,8    	18,9    	22,7    	19,7    	22,9    	24,9    	25,6    	26,9    	28,9    	25,9    	24,3    	23,0    	22,1    	18,2    	16,4    	15,0    	13,0    	11,4    	9,6     	6,9     	4,7     	3,0     
	LAeq     	-44,7   	-38,9   	-33,3   	-17,2   	-9,9    	-9,9    	-3,4    	-2,5    	1,4     	5,8     	11,5    	11,1    	18,9    	20,5    	23,2    	26,4    	28,7    	29,6    	30,6    	28,8    	28,6    	29,2    	30,8    	28,6    	28,0    	27,2    	26,5    	24,9    	24,0    	23,3    	21,8    	19,7    	16,1    	11,7    	8,2     	4,8     
	L_Capt   	54,0    	57,3    	55,7    	54,0    	53,2    	50,9    	49,3    	52,1    	51,1    	52,1    	55,0    	52,4    	64,5    	64,3    	60,8    	63,8    	61,2    	59,6    	56,4    	54,4    	59,1    	57,7    	52,4    	49,8    	46,5    	42,3    	43,5    	45,4    	40,9    	33,6    	38,3    	38,4    	37,4    	32,6    	30,0    	28,6    
	LAE      	-29,9   	-24,0   	-18,4   	-2,4    	4,9     	4,9     	11,4    	12,3    	16,3    	20,6    	26,3    	26,0    	33,8    	35,4    	38,1    	41,3    	43,6    	44,5    	45,5    	43,6    	43,5    	44,1    	45,7    	43,5    	42,9    	42,0    	41,4    	39,7    	38,9    	38,1    	36,6    	34,5    	31,0    	26,5    	23,1    	19,7    
	LAS1,0%  	-,-     	-,-     	-,-     	-9,7    	-3,7    	-5,7    	0,3     	7,3     	13,3    	15,3    	22,3    	21,3    	31,3    	32,3    	35,3    	37,3    	40,3    	40,3    	41,3    	37,3    	34,3    	33,3    	32,3    	32,3    	31,3    	31,3    	30,3    	29,3    	29,3    	29,3    	28,3    	27,3    	23,3    	18,3    	13,3    	8,3     
	LAS5,0%  	-,-     	-,-     	-,-     	-12,7   	-4,7    	-6,7    	0,3     	2,3     	9,3     	11,3    	18,3    	17,3    	26,3    	28,3    	30,3    	33,3    	35,3    	38,3    	38,3    	33,3    	32,3    	31,3    	32,3    	31,3    	31,3    	30,3    	30,3    	28,3    	28,3    	28,3    	27,3    	25,3    	21,3    	16,3    	11,3    	7,3     
	LAS10,0% 	-,-     	-,-     	-,-     	-13,7   	-5,7    	-7,7    	-0,7    	-0,7    	3,3     	7,3     	13,3    	13,3    	20,3    	22,3    	24,3    	27,3    	30,3    	33,3    	33,3    	31,3    	30,3    	30,3    	31,3    	30,3    	31,3    	30,3    	29,3    	28,3    	27,3    	27,3    	24,3    	22,3    	18,3    	14,3    	11,3    	7,3     
	LAS50,0% 	-,-     	-,-     	-,-     	-20,7   	-13,7   	-11,7   	-5,7    	-6,7    	-9,7    	2,3     	6,3     	7,3     	10,3    	13,3    	15,3    	20,3    	23,3    	21,3    	24,3    	26,3    	27,3    	28,3    	30,3    	27,3    	26,3    	25,3    	24,3    	22,3    	21,3    	20,3    	19,3    	17,3    	14,3    	10,3    	6,3     	4,3     
	LAS90,0% 	-,-     	-,-     	-,-     	-,-     	-17,7   	-13,7   	-7,7    	-9,7    	-13,7   	-1,7    	3,3     	3,3     	7,3     	11,3    	14,3    	19,3    	23,3    	20,3    	23,3    	25,3    	25,3    	26,3    	29,3    	26,3    	24,3    	23,3    	22,3    	19,3    	17,3    	16,3    	14,3    	13,3    	10,3    	7,3     	5,3     	2,3     
	LAS95,0% 	-,-     	-,-     	-,-     	-,-     	-17,7   	-13,7   	-7,7    	-11,7   	-13,7   	-1,7    	2,3     	2,3     	6,3     	11,3    	14,3    	19,3    	22,3    	19,3    	22,3    	24,3    	25,3    	26,3    	29,3    	25,3    	24,3    	22,3    	22,3    	18,3    	16,3    	15,3    	13,3    	11,3    	9,3     	7,3     	4,3     	2,3     
	LAS99,0% 	-,-     	-,-     	-,-     	-,-     	-18,7   	-15,7   	-8,7    	-12,7   	-15,7   	-2,7    	1,3     	1,3     	6,3     	10,3    	13,3    	18,3    	22,3    	19,3    	22,3    	24,3    	25,3    	26,3    	28,3    	25,3    	24,3    	22,3    	21,3    	18,3    	16,3    	14,3    	12,3    	11,3    	9,3     	6,3     	4,3     	2,3     

