XL2 Sound Level Meter RTA Reporting:		CHH2016\SPL_SLM_007_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-02094-C0, FW3.02
	Mic Type:       	NTi Audio M2210, SNo. 1368, User calibrated 2015-12-16  12:34
	Mic Sensitivity:	21,4 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	10 - 110 dB

# Time
	Start:          	2016-04-13, 12:11:56
	End:            	2016-04-13, 12:12:26

# RTA Results
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LASmax   	-25,5   	-25,6   	-21,3   	-14,8   	-6,3    	4,0     	11,3    	13,7    	15,0    	48,5    	29,3    	44,0    	52,5    	50,0    	55,7    	58,5    	56,7    	60,7    	64,9    	63,4    	60,5    	64,9    	66,0    	63,3    	64,7    	65,0    	63,1    	64,1    	62,2    	60,2    	57,0    	54,3    	49,7    	41,8    	36,1    	29,4    
	LASmin   	-48,8   	-41,6   	-39,2   	-30,9   	-17,5   	-11,7   	1,9     	4,4     	2,2     	46,3    	21,9    	38,3    	49,2    	44,3    	48,0    	54,2    	53,8    	58,2    	61,7    	60,7    	57,8    	61,9    	63,4    	60,0    	62,2    	62,3    	59,8    	61,3    	59,3    	58,5    	54,9    	52,2    	47,2    	39,5    	33,9    	27,1    
	LAeq     	-38,9   	-32,2   	-28,9   	-22,8   	-10,6   	-3,0    	6,3     	7,4     	10,1    	47,9    	24,5    	41,0    	51,2    	46,2    	50,5    	56,5    	55,4    	59,6    	63,4    	62,0    	59,1    	63,1    	64,6    	61,8    	63,2    	63,6    	61,4    	62,6    	60,6    	59,3    	56,0    	53,1    	48,4    	40,6    	35,0    	28,0    
	L_Capt   	54,0    	57,3    	55,7    	54,0    	53,2    	50,9    	49,3    	52,1    	51,1    	52,1    	55,0    	52,4    	64,5    	64,3    	60,8    	63,8    	61,2    	59,6    	56,4    	54,4    	59,1    	57,7    	52,4    	49,8    	46,5    	42,3    	43,5    	45,4    	40,9    	33,6    	38,3    	38,4    	37,4    	32,6    	30,0    	28,6    
	LAE      	-24,1   	-17,3   	-14,0   	-7,9    	4,2     	11,8    	21,2    	22,2    	25,0    	62,8    	39,3    	55,9    	66,1    	61,1    	65,4    	71,3    	70,3    	74,5    	78,2    	76,9    	74,0    	77,9    	79,4    	76,6    	78,0    	78,4    	76,2    	77,4    	75,5    	74,2    	70,8    	67,9    	63,2    	55,4    	49,8    	42,9    
	LAS1,0%  	-,-     	-,-     	-22,7   	-15,7   	-6,7    	3,3     	10,3    	12,3    	14,3    	48,3    	28,3    	43,3    	52,3    	49,3    	55,3    	57,3    	56,3    	60,3    	64,3    	62,3    	60,3    	64,3    	65,3    	62,3    	64,3    	64,3    	62,3    	63,3    	61,3    	59,3    	56,3    	53,3    	49,3    	41,3    	35,3    	28,3    
	LAS5,0%  	-,-     	-,-     	-,-     	-17,7   	-7,7    	2,3     	9,3     	11,3    	14,3    	48,3    	26,3    	42,3    	51,3    	48,3    	54,3    	57,3    	56,3    	60,3    	63,3    	62,3    	59,3    	64,3    	65,3    	62,3    	63,3    	64,3    	62,3    	63,3    	61,3    	59,3    	56,3    	53,3    	48,3    	41,3    	35,3    	28,3    
	LAS10,0% 	-,-     	-,-     	-,-     	-18,7   	-8,7    	0,3     	8,3     	9,3     	14,3    	48,3    	26,3    	42,3    	51,3    	47,3    	53,3    	57,3    	56,3    	60,3    	63,3    	62,3    	59,3    	63,3    	64,3    	62,3    	63,3    	64,3    	62,3    	63,3    	61,3    	59,3    	56,3    	53,3    	48,3    	40,3    	35,3    	28,3    
	LAS50,0% 	-,-     	-,-     	-,-     	-,-     	-11,7   	-4,7    	5,3     	6,3     	7,3     	47,3    	24,3    	40,3    	51,3    	45,3    	49,3    	56,3    	54,3    	59,3    	63,3    	61,3    	58,3    	62,3    	64,3    	61,3    	62,3    	63,3    	61,3    	62,3    	60,3    	59,3    	55,3    	52,3    	48,3    	40,3    	34,3    	27,3    
	LAS90,0% 	-,-     	-,-     	-,-     	-,-     	-14,7   	-9,7    	3,3     	5,3     	3,3     	46,3    	22,3    	39,3    	49,3    	44,3    	48,3    	55,3    	54,3    	58,3    	62,3    	60,3    	57,3    	61,3    	63,3    	60,3    	62,3    	62,3    	59,3    	61,3    	59,3    	58,3    	55,3    	52,3    	47,3    	39,3    	34,3    	27,3    
	LAS95,0% 	-,-     	-,-     	-,-     	-,-     	-15,7   	-10,7   	2,3     	5,3     	2,3     	46,3    	22,3    	39,3    	49,3    	44,3    	48,3    	54,3    	54,3    	58,3    	62,3    	60,3    	57,3    	61,3    	63,3    	60,3    	62,3    	62,3    	59,3    	61,3    	59,3    	58,3    	55,3    	52,3    	47,3    	39,3    	34,3    	27,3    
	LAS99,0% 	-,-     	-,-     	-,-     	-,-     	-17,7   	-11,7   	1,3     	4,3     	2,3     	46,3    	22,3    	38,3    	49,3    	44,3    	47,3    	54,3    	53,3    	58,3    	61,3    	60,3    	57,3    	61,3    	63,3    	59,3    	62,3    	62,3    	59,3    	61,3    	59,3    	58,3    	54,3    	51,3    	47,3    	39,3    	33,3    	27,3    

