XL2 Sound Level Meter RTA Reporting:		CHH2016\SPL_SLM_009_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-02094-C0, FW3.02
	Mic Type:       	NTi Audio M2210, SNo. 1368, User calibrated 2015-12-16  12:34
	Mic Sensitivity:	21,4 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	10 - 110 dB

# Time
	Start:          	2016-04-13, 12:13:48
	End:            	2016-04-13, 12:14:18

# RTA Results
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LASmax   	-25,7   	-18,9   	-12,3   	-7,6    	-4,9    	2,7     	9,2     	8,2     	11,8    	40,2    	21,1    	38,5    	53,0    	44,5    	50,1    	56,8    	56,9    	58,0    	64,5    	64,0    	60,7    	63,4    	63,2    	60,0    	62,4    	63,4    	60,7    	60,3    	59,3    	59,4    	54,7    	51,0    	46,9    	40,0    	34,7    	27,8    
	LASmin   	-47,3   	-40,4   	-36,5   	-19,1   	-16,8   	-9,1    	0,0     	-0,8    	5,9     	38,3    	15,0    	34,6    	49,2    	40,3    	46,5    	53,4    	53,6    	55,4    	62,2    	60,4    	58,8    	61,1    	61,1    	57,5    	59,1    	59,8    	57,2    	58,1    	57,5    	57,5    	52,1    	48,4    	43,6    	37,3    	32,6    	25,1    
	LAeq     	-34,5   	-30,5   	-24,0   	-13,0   	-9,4    	-2,7    	5,3     	2,7     	8,5     	39,2    	18,2    	36,4    	51,2    	42,7    	48,5    	55,0    	55,3    	56,8    	63,4    	62,4    	59,7    	62,1    	62,1    	58,7    	60,4    	61,4    	59,0    	59,1    	58,3    	58,4    	53,4    	49,8    	45,1    	38,5    	33,6    	26,7    
	L_Capt   	54,0    	57,3    	55,7    	54,0    	53,2    	50,9    	49,3    	52,1    	51,1    	52,1    	55,0    	52,4    	64,5    	64,3    	60,8    	63,8    	61,2    	59,6    	56,4    	54,4    	59,1    	57,7    	52,4    	49,8    	46,5    	42,3    	43,5    	45,4    	40,9    	33,6    	38,3    	38,4    	37,4    	32,6    	30,0    	28,6    
	LAE      	-19,7   	-15,6   	-9,2    	1,8     	5,5     	12,2    	20,2    	17,6    	23,4    	54,1    	33,0    	51,2    	66,0    	57,6    	63,4    	69,8    	70,1    	71,6    	78,2    	77,2    	74,6    	76,9    	77,0    	73,5    	75,3    	76,3    	73,8    	73,9    	73,2    	73,3    	68,2    	64,6    	60,0    	53,3    	48,5    	41,6    
	LAS1,0%  	-,-     	-19,7   	-13,7   	-7,7    	-5,7    	2,3     	8,3     	7,3     	11,3    	39,3    	20,3    	37,3    	52,3    	43,3    	49,3    	56,3    	56,3    	57,3    	64,3    	63,3    	60,3    	62,3    	62,3    	59,3    	62,3    	62,3    	60,3    	59,3    	58,3    	58,3    	54,3    	50,3    	46,3    	39,3    	34,3    	27,3    
	LAS5,0%  	-,-     	-21,7   	-16,7   	-9,7    	-6,7    	0,3     	7,3     	6,3     	10,3    	39,3    	19,3    	37,3    	52,3    	43,3    	49,3    	56,3    	56,3    	57,3    	63,3    	63,3    	60,3    	62,3    	62,3    	59,3    	61,3    	62,3    	59,3    	59,3    	58,3    	58,3    	53,3    	50,3    	45,3    	38,3    	34,3    	27,3    
	LAS10,0% 	-,-     	-,-     	-17,7   	-10,7   	-7,7    	0,3     	7,3     	3,3     	9,3     	39,3    	19,3    	37,3    	52,3    	43,3    	48,3    	55,3    	55,3    	57,3    	63,3    	62,3    	59,3    	62,3    	62,3    	58,3    	60,3    	61,3    	59,3    	59,3    	58,3    	58,3    	53,3    	50,3    	45,3    	38,3    	33,3    	26,3    
	LAS50,0% 	-,-     	-,-     	-,-     	-14,7   	-10,7   	-3,7    	4,3     	1,3     	8,3     	38,3    	17,3    	36,3    	50,3    	42,3    	48,3    	54,3    	54,3    	56,3    	63,3    	62,3    	59,3    	61,3    	61,3    	58,3    	60,3    	61,3    	58,3    	58,3    	58,3    	58,3    	53,3    	49,3    	44,3    	38,3    	33,3    	26,3    
	LAS90,0% 	-,-     	-,-     	-,-     	-18,7   	-12,7   	-7,7    	1,3     	-0,7    	6,3     	38,3    	16,3    	35,3    	49,3    	41,3    	47,3    	53,3    	53,3    	55,3    	62,3    	61,3    	58,3    	61,3    	61,3    	57,3    	59,3    	60,3    	57,3    	58,3    	57,3    	57,3    	52,3    	48,3    	43,3    	37,3    	32,3    	25,3    
	LAS95,0% 	-,-     	-,-     	-,-     	-18,7   	-14,7   	-7,7    	1,3     	-0,7    	6,3     	38,3    	16,3    	34,3    	49,3    	40,3    	46,3    	53,3    	53,3    	55,3    	62,3    	60,3    	58,3    	61,3    	61,3    	57,3    	59,3    	60,3    	57,3    	58,3    	57,3    	57,3    	52,3    	48,3    	43,3    	37,3    	32,3    	25,3    
	LAS99,0% 	-,-     	-,-     	-,-     	-19,7   	-16,7   	-8,7    	0,3     	-0,7    	5,3     	38,3    	14,3    	34,3    	49,3    	40,3    	46,3    	53,3    	53,3    	55,3    	62,3    	60,3    	58,3    	60,3    	60,3    	57,3    	58,3    	59,3    	57,3    	57,3    	57,3    	57,3    	51,3    	48,3    	43,3    	37,3    	32,3    	25,3    

