XL2 Sound Level Meter RTA Reporting:		CHH2016\SPL_SLM_010_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-02094-C0, FW3.02
	Mic Type:       	NTi Audio M2210, SNo. 1368, User calibrated 2015-12-16  12:34
	Mic Sensitivity:	21,4 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	10 - 110 dB

# Time
	Start:          	2016-04-13, 12:14:32
	End:            	2016-04-13, 12:15:02

# RTA Results
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LASmax   	-28,7   	-23,0   	-19,3   	-10,5   	2,3     	-5,7    	4,1     	4,0     	10,6    	46,6    	16,9    	33,7    	47,5    	45,9    	44,9    	53,6    	53,8    	53,2    	56,4    	61,7    	58,6    	56,0    	55,7    	53,5    	58,3    	53,6    	54,3    	53,2    	53,5    	55,6    	46,9    	43,6    	38,1    	33,7    	28,9    	22,2    
	LASmin   	-50,1   	-41,5   	-37,0   	-23,0   	-16,8   	-20,6   	-4,6    	-6,8    	-1,5    	46,0    	10,9    	29,3    	44,7    	42,3    	41,7    	51,7    	50,7    	50,2    	53,4    	56,5    	55,6    	53,6    	53,0    	51,4    	53,6    	51,6    	51,1    	51,3    	52,2    	54,1    	46,1    	42,7    	37,3    	32,9    	28,0    	21,1    
	LAeq     	-35,8   	-31,1   	-26,9   	-17,1   	-6,3    	-13,7   	0,3     	-1,8    	4,1     	46,4    	13,2    	31,1    	45,8    	44,2    	43,0    	52,7    	52,5    	52,0    	54,8    	59,3    	57,1    	54,9    	54,0    	52,3    	56,1    	52,6    	52,5    	52,0    	52,7    	54,7    	46,6    	43,1    	37,6    	33,3    	28,6    	21,8    
	L_Capt   	54,0    	57,3    	55,7    	54,0    	53,2    	50,9    	49,3    	52,1    	51,1    	52,1    	55,0    	52,4    	64,5    	64,3    	60,8    	63,8    	61,2    	59,6    	56,4    	54,4    	59,1    	57,7    	52,4    	49,8    	46,5    	42,3    	43,5    	45,4    	40,9    	33,6    	38,3    	38,4    	37,4    	32,6    	30,0    	28,6    
	LAE      	-20,9   	-16,2   	-12,1   	-2,2    	8,6     	1,1     	15,2    	13,1    	19,0    	61,2    	28,0    	46,0    	60,7    	59,0    	57,8    	67,5    	67,3    	66,9    	69,7    	74,1    	71,9    	69,7    	68,8    	67,2    	70,9    	67,5    	67,3    	66,9    	67,6    	69,6    	61,4    	58,0    	52,5    	48,2    	43,5    	36,7    
	LAS1,0%  	-,-     	-,-     	-19,7   	-11,7   	1,3     	-6,7    	3,3     	3,3     	9,3     	46,3    	16,3    	32,3    	47,3    	45,3    	44,3    	53,3    	53,3    	52,3    	55,3    	61,3    	58,3    	55,3    	55,3    	53,3    	57,3    	53,3    	53,3    	52,3    	53,3    	55,3    	46,3    	43,3    	37,3    	33,3    	28,3    	21,3    
	LAS5,0%  	-,-     	-,-     	-20,7   	-13,7   	-0,7    	-8,7    	2,3     	2,3     	7,3     	46,3    	15,3    	32,3    	46,3    	45,3    	43,3    	53,3    	52,3    	52,3    	55,3    	60,3    	57,3    	55,3    	54,3    	52,3    	57,3    	52,3    	53,3    	52,3    	52,3    	55,3    	46,3    	43,3    	37,3    	33,3    	28,3    	21,3    
	LAS10,0% 	-,-     	-,-     	-21,7   	-13,7   	-2,7    	-10,7   	2,3     	1,3     	6,3     	46,3    	14,3    	31,3    	46,3    	44,3    	43,3    	52,3    	52,3    	52,3    	55,3    	60,3    	57,3    	55,3    	54,3    	52,3    	56,3    	52,3    	53,3    	52,3    	52,3    	55,3    	46,3    	43,3    	37,3    	33,3    	28,3    	21,3    
	LAS50,0% 	-,-     	-,-     	-,-     	-18,7   	-9,7    	-16,7   	-0,7    	-4,7    	2,3     	46,3    	12,3    	30,3    	45,3    	43,3    	42,3    	52,3    	52,3    	51,3    	54,3    	58,3    	56,3    	54,3    	53,3    	52,3    	55,3    	52,3    	52,3    	51,3    	52,3    	54,3    	46,3    	42,3    	37,3    	33,3    	28,3    	21,3    
	LAS90,0% 	-,-     	-,-     	-,-     	-21,7   	-14,7   	-19,7   	-3,7    	-6,7    	0,3     	45,3    	11,3    	29,3    	45,3    	42,3    	42,3    	51,3    	51,3    	50,3    	53,3    	56,3    	55,3    	53,3    	53,3    	51,3    	54,3    	51,3    	51,3    	51,3    	52,3    	54,3    	46,3    	42,3    	37,3    	32,3    	27,3    	21,3    
	LAS95,0% 	-,-     	-,-     	-,-     	-22,7   	-15,7   	-20,7   	-3,7    	-6,7    	-0,7    	45,3    	11,3    	29,3    	44,3    	42,3    	41,3    	51,3    	50,3    	50,3    	53,3    	56,3    	55,3    	53,3    	52,3    	51,3    	53,3    	51,3    	50,3    	51,3    	52,3    	53,3    	45,3    	42,3    	37,3    	32,3    	27,3    	20,3    
	LAS99,0% 	-,-     	-,-     	-,-     	-,-     	-16,7   	-20,7   	-4,7    	-6,7    	-1,7    	45,3    	10,3    	29,3    	44,3    	42,3    	41,3    	51,3    	50,3    	50,3    	53,3    	56,3    	55,3    	53,3    	52,3    	51,3    	53,3    	51,3    	50,3    	51,3    	52,3    	53,3    	45,3    	42,3    	37,3    	32,3    	27,3    	20,3    

