XL2 Sound Level Meter RTA Reporting:		CHH2016\SPL_SLM_003_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-02094-C0, FW3.02
	Mic Type:       	NTi Audio M2210, SNo. 1368, User calibrated 2015-12-16  12:34
	Mic Sensitivity:	21,4 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	10 - 110 dB

# Time
	Start:          	2016-04-13, 12:07:40
	End:            	2016-04-13, 12:08:10

# RTA Results
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LASmax   	-27,3   	-19,1   	-13,6   	-11,0   	-3,1    	-4,4    	8,7     	-0,3    	2,3     	9,6     	13,1    	22,4    	25,5    	28,1    	30,0    	31,7    	34,1    	34,4    	33,1    	33,6    	32,8    	33,2    	34,6    	32,8    	34,5    	33,6    	32,9    	35,3    	32,5    	27,4    	24,7    	22,3    	20,0    	15,4    	10,9    	6,1     
	LASmin   	-52,2   	-44,6   	-40,2   	-27,5   	-19,0   	-20,1   	-9,7    	-11,9   	-8,7    	2,0     	2,9     	7,0     	8,3     	14,4    	15,7    	24,3    	24,9    	21,1    	24,2    	28,9    	26,3    	26,9    	29,3    	27,1    	25,5    	24,7    	23,3    	20,1    	17,4    	15,8    	13,7    	12,4    	10,5    	7,0     	4,4     	2,2     
	LAeq     	-37,8   	-31,3   	-26,4   	-20,7   	-10,8   	-12,5   	-0,5    	-5,5    	-3,1    	5,6     	7,0     	12,6    	17,4    	21,0    	23,2    	27,4    	29,1    	27,2    	28,4    	30,7    	28,5    	29,3    	31,0    	29,4    	28,9    	27,9    	27,2    	27,2    	25,6    	23,0    	20,3    	17,9    	15,3    	10,1    	6,6     	3,2     
	L_Capt   	54,0    	57,3    	55,7    	54,0    	53,2    	50,9    	49,3    	52,1    	51,1    	52,1    	55,0    	52,4    	64,5    	64,3    	60,8    	63,8    	61,2    	59,6    	56,4    	54,4    	59,1    	57,7    	52,4    	49,8    	46,5    	42,3    	43,5    	45,4    	40,9    	33,6    	38,3    	38,4    	37,4    	32,6    	30,0    	28,6    
	LAE      	-23,0   	-16,5   	-11,5   	-5,9    	4,0     	2,3     	14,3    	9,3     	11,7    	20,4    	21,9    	27,4    	32,2    	35,9    	38,1    	42,2    	44,0    	42,1    	43,3    	45,5    	43,4    	44,1    	45,8    	44,2    	43,8    	42,8    	42,0    	42,0    	40,5    	37,9    	35,1    	32,8    	30,1    	25,0    	21,4    	18,1    
	LAS1,0%  	-,-     	-19,7   	-14,7   	-12,7   	-4,7    	-6,7    	8,3     	-0,7    	1,3     	8,3     	12,3    	21,3    	24,3    	27,3    	29,3    	31,3    	33,3    	33,3    	32,3    	32,3    	32,3    	32,3    	34,3    	32,3    	33,3    	32,3    	32,3    	34,3    	31,3    	26,3    	24,3    	21,3    	19,3    	14,3    	10,3    	5,3     
	LAS5,0%  	-,-     	-,-     	-18,7   	-14,7   	-6,7    	-8,7    	4,3     	-1,7    	0,3     	7,3     	10,3    	18,3    	22,3    	25,3    	27,3    	29,3    	32,3    	30,3    	31,3    	32,3    	30,3    	32,3    	32,3    	31,3    	31,3    	30,3    	30,3    	32,3    	29,3    	26,3    	23,3    	21,3    	18,3    	13,3    	9,3     	4,3     
	LAS10,0% 	-,-     	-,-     	-,-     	-16,7   	-8,7    	-9,7    	0,3     	-2,7    	-0,7    	7,3     	8,3     	16,3    	20,3    	23,3    	26,3    	29,3    	31,3    	29,3    	30,3    	31,3    	30,3    	31,3    	32,3    	30,3    	30,3    	29,3    	29,3    	29,3    	28,3    	26,3    	22,3    	20,3    	17,3    	12,3    	8,3     	4,3     
	LAS50,0% 	-,-     	-,-     	-,-     	-22,7   	-13,7   	-15,7   	-4,7    	-6,7    	-4,7    	4,3     	6,3     	9,3     	14,3    	19,3    	21,3    	26,3    	27,3    	26,3    	27,3    	30,3    	27,3    	28,3    	30,3    	29,3    	28,3    	27,3    	26,3    	24,3    	24,3    	22,3    	20,3    	17,3    	14,3    	9,3     	5,3     	2,3     
	LAS90,0% 	-,-     	-,-     	-,-     	-,-     	-16,7   	-18,7   	-8,7    	-10,7   	-6,7    	2,3     	3,3     	7,3     	9,3     	15,3    	17,3    	24,3    	26,3    	22,3    	24,3    	29,3    	26,3    	27,3    	29,3    	27,3    	26,3    	25,3    	24,3    	22,3    	20,3    	18,3    	16,3    	13,3    	12,3    	7,3     	4,3     	2,3     
	LAS95,0% 	-,-     	-,-     	-,-     	-,-     	-17,7   	-18,7   	-8,7    	-11,7   	-7,7    	2,3     	3,3     	7,3     	9,3     	15,3    	16,3    	24,3    	25,3    	22,3    	24,3    	28,3    	26,3    	27,3    	29,3    	27,3    	25,3    	25,3    	24,3    	21,3    	19,3    	17,3    	14,3    	13,3    	11,3    	6,3     	4,3     	2,3     
	LAS99,0% 	-,-     	-,-     	-,-     	-,-     	-18,7   	-19,7   	-9,7    	-11,7   	-8,7    	2,3     	2,3     	6,3     	8,3     	14,3    	15,3    	24,3    	24,3    	20,3    	24,3    	28,3    	26,3    	26,3    	29,3    	26,3    	25,3    	24,3    	23,3    	19,3    	17,3    	15,3    	13,3    	12,3    	10,3    	6,3     	4,3     	1,3     

