XL2 Sound Level Meter RTA Reporting:		CHH2016\SPL_SLM_006_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-02094-C0, FW3.02
	Mic Type:       	NTi Audio M2210, SNo. 1368, User calibrated 2015-12-16  12:34
	Mic Sensitivity:	21,4 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	10 - 110 dB

# Time
	Start:          	2016-04-13, 12:10:18
	End:            	2016-04-13, 12:10:48

# RTA Results
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LASmax   	-28,4   	-23,7   	-21,4   	-19,9   	-6,0    	-1,3    	6,1     	3,9     	1,0     	24,0    	17,8    	22,8    	22,3    	25,4    	23,2    	29,9    	30,5    	28,1    	29,6    	32,6    	35,0    	35,1    	38,1    	43,3    	33,8    	31,9    	33,9    	34,1    	32,3    	32,4    	31,0    	29,4    	24,5    	16,3    	9,8     	5,5     
	LASmin   	-51,2   	-49,0   	-42,3   	-31,7   	-19,2   	-11,2   	-1,8    	-6,2    	-10,1   	-0,3    	2,4     	7,3     	9,8     	13,6    	13,9    	21,6    	23,7    	20,1    	22,9    	27,0    	26,4    	27,4    	28,3    	27,0    	24,4    	23,5    	21,9    	19,3    	17,3    	15,3    	13,4    	11,6    	9,6     	6,8     	4,4     	2,3     
	LAeq     	-41,5   	-35,1   	-31,2   	-26,3   	-11,2   	-5,9    	2,2     	-1,8    	-5,2    	13,5    	9,9     	13,3    	14,6    	17,5    	17,7    	23,9    	25,5    	23,1    	25,2    	28,4    	28,6    	29,2    	30,6    	32,0    	27,2    	25,9    	25,7    	25,1    	23,0    	22,4    	20,2    	18,0    	14,0    	9,0     	5,7     	2,9     
	L_Capt   	54,0    	57,3    	55,7    	54,0    	53,2    	50,9    	49,3    	52,1    	51,1    	52,1    	55,0    	52,4    	64,5    	64,3    	60,8    	63,8    	61,2    	59,6    	56,4    	54,4    	59,1    	57,7    	52,4    	49,8    	46,5    	42,3    	43,5    	45,4    	40,9    	33,6    	38,3    	38,4    	37,4    	32,6    	30,0    	28,6    
	LAE      	-26,7   	-20,3   	-16,3   	-11,4   	3,6     	9,0     	17,0    	13,1    	9,7     	28,4    	24,8    	28,2    	29,5    	32,3    	32,6    	38,8    	40,4    	38,0    	40,1    	43,2    	43,5    	44,1    	45,5    	46,8    	42,0    	40,8    	40,5    	40,0    	37,9    	37,3    	35,1    	32,8    	28,9    	23,9    	20,6    	17,8    
	LAS1,0%  	-,-     	-,-     	-21,7   	-20,7   	-6,7    	-2,7    	5,3     	3,3     	0,3     	23,3    	17,3    	21,3    	21,3    	24,3    	22,3    	29,3    	29,3    	27,3    	29,3    	31,3    	34,3    	34,3    	37,3    	42,3    	33,3    	31,3    	33,3    	33,3    	31,3    	31,3    	30,3    	28,3    	23,3    	15,3    	8,3     	4,3     
	LAS5,0%  	-,-     	-,-     	-,-     	-22,7   	-8,7    	-3,7    	5,3     	1,3     	-1,7    	20,3    	15,3    	19,3    	19,3    	20,3    	21,3    	27,3    	27,3    	25,3    	27,3    	30,3    	31,3    	32,3    	34,3    	37,3    	31,3    	29,3    	30,3    	31,3    	28,3    	28,3    	26,3    	23,3    	19,3    	12,3    	7,3     	3,3     
	LAS10,0% 	-,-     	-,-     	-,-     	-,-     	-8,7    	-4,7    	4,3     	0,3     	-2,7    	18,3    	14,3    	17,3    	18,3    	19,3    	20,3    	26,3    	27,3    	24,3    	26,3    	29,3    	30,3    	30,3    	32,3    	34,3    	29,3    	27,3    	28,3    	28,3    	26,3    	26,3    	23,3    	20,3    	16,3    	10,3    	7,3     	3,3     
	LAS50,0% 	-,-     	-,-     	-,-     	-,-     	-12,7   	-6,7    	1,3     	-3,7    	-6,7    	6,3     	6,3     	11,3    	12,3    	16,3    	16,3    	22,3    	24,3    	22,3    	24,3    	27,3    	27,3    	27,3    	28,3    	27,3    	25,3    	24,3    	23,3    	20,3    	19,3    	17,3    	15,3    	13,3    	11,3    	7,3     	4,3     	2,3     
	LAS90,0% 	-,-     	-,-     	-,-     	-,-     	-15,7   	-9,7    	-0,7    	-5,7    	-8,7    	2,3     	3,3     	8,3     	10,3    	14,3    	14,3    	21,3    	23,3    	20,3    	23,3    	27,3    	26,3    	27,3    	28,3    	26,3    	24,3    	23,3    	22,3    	19,3    	17,3    	15,3    	13,3    	11,3    	9,3     	6,3     	4,3     	2,3     
	LAS95,0% 	-,-     	-,-     	-,-     	-,-     	-16,7   	-10,7   	-1,7    	-5,7    	-9,7    	0,3     	3,3     	7,3     	10,3    	14,3    	14,3    	21,3    	23,3    	20,3    	23,3    	26,3    	26,3    	27,3    	28,3    	26,3    	24,3    	23,3    	22,3    	19,3    	17,3    	15,3    	13,3    	11,3    	9,3     	6,3     	4,3     	2,3     
	LAS99,0% 	-,-     	-,-     	-,-     	-,-     	-18,7   	-11,7   	-1,7    	-6,7    	-10,7   	-0,7    	2,3     	7,3     	9,3     	13,3    	13,3    	21,3    	23,3    	19,3    	22,3    	26,3    	26,3    	27,3    	28,3    	26,3    	24,3    	23,3    	21,3    	19,3    	17,3    	15,3    	13,3    	11,3    	9,3     	6,3     	4,3     	2,3     

